station_no,name_tw,parking_spaces,available_spaces,empty_spaces,forbidden_spaces,status,type,updated_at,time
500101041,辛亥新生路口東南側,21,5,16,0,1,2,2020-03-05 16:14:24,2020-03-04 23:09:03
500101042,基隆長興路口東側,15,7,8,0,1,2,2020-03-05 16:14:24,2020-03-05 12:25:03
500101091,國北教大側門南側,28,1,27,0,1,2,2020-03-05 16:14:24,2020-03-04 18:59:03
500101092,和平實小東北側,13,1,12,0,1,2,2020-03-05 16:14:24,2020-03-05 13:19:03
500101093,大安區健康服務中心,15,1,14,0,1,2,2020-03-05 16:14:24,2020-03-04 09:21:03
500106001,臺北自來水事業處,20,5,15,0,1,2,2020-03-05 16:14:24,2020-03-05 13:21:03
500106002,汀州思源街口東南側,20,3,17,0,1,2,2020-03-05 16:14:24,2020-03-03 21:41:03
500106003,捷運公館站(1號出口),12,3,9,0,1,2,2020-03-05 16:14:24,2020-03-05 12:15:03
500106004,捷運公館站(4號出口),12,6,6,0,1,2,2020-03-05 16:14:24,2020-03-05 16:11:03
500101013,和平復興路口西北側,9,1,8,0,1,2,2020-03-05 16:14:24,2020-03-04 23:21:03
500101009,新生南路三段66號前,20,5,15,0,1,2,2020-03-05 16:14:24,2020-03-05 07:15:03
508101045,臺大農業陳列館北側,13,5,8,0,1,2,2020-03-05 16:14:24,2020-03-05 07:21:03
508106005,臺大水源舍區A棟,37,10,26,0,1,2,2020-03-05 16:14:24,2020-03-05 09:11:03
508106006,臺大卓越研究大樓,32,1,31,0,1,2,2020-03-05 16:14:24,2020-03-05 09:25:03
508106007,臺大水源修齊會館,18,3,15,0,1,2,2020-03-05 16:14:24,2020-03-04 09:05:03
508106008,臺大檔案展示館,10,4,6,0,1,2,2020-03-05 16:14:24,2020-03-05 15:57:03
508106009,臺大水源舍區B棟,30,5,25,0,1,2,2020-03-05 16:14:24,2020-03-05 06:57:03
508101043,臺大男八舍東側,42,6,36,0,1,2,2020-03-05 16:14:24,2020-03-05 08:59:03
508101044,臺大仰萃樓東南側,10,0,10,0,1,2,2020-03-05 16:14:24,2020-03-05 15:47:03
508101046,臺大管理學院二館北側,11,6,5,0,1,2,2020-03-05 16:14:24,2020-03-05 14:51:03
508101047,臺大土木系館,10,1,9,0,1,2,2020-03-05 16:14:24,2020-03-05 15:17:03
508101048,臺大大一女舍北側,53,17,36,0,1,2,2020-03-05 16:14:24,2020-03-05 09:27:03
508101049,臺大女九舍西南側,30,0,30,0,1,2,2020-03-05 16:14:24,2020-03-05 15:19:03
508101050,臺大小福樓東側,20,16,4,0,1,2,2020-03-05 16:14:24,2020-03-05 14:47:03
508101051,臺大立體機車停車場,27,1,26,0,1,2,2020-03-05 16:14:24,2020-03-03 21:53:03
508101052,臺大工綜館南側,16,6,7,0,1,2,2020-03-05 16:14:24,2020-03-05 09:35:03
508101053,臺大天文數學館南側,19,11,8,0,1,2,2020-03-05 16:14:24,2020-03-05 14:37:03
508101054,臺大心理系館南側,10,3,7,0,1,2,2020-03-05 16:14:24,2020-03-05 14:27:03
508101055,臺大樂學館東側,10,0,10,0,1,2,2020-03-05 16:14:24,2020-03-04 13:45:03
508101056,臺大農化新館西側,10,3,7,0,1,2,2020-03-05 16:14:24,2020-03-05 09:51:03
508101057,臺大五號館西側,10,7,3,0,1,2,2020-03-05 16:14:24,2020-03-05 11:21:03
508101058,臺大舊體育館西側,10,4,6,0,1,2,2020-03-05 16:14:24,2020-03-05 15:49:03
508101059,臺大共同教室北側,20,10,10,0,1,2,2020-03-05 16:14:24,2020-03-05 11:35:03
