station_no,name_tw,parking_spaces,available_spaces,empty_spaces,forbidden_spaces,status,type,updated_at,time
500101001,捷運科技大樓站,17,12,5,0,1,2,2020-03-11 22:09:21,2020-03-11 21:57:03
500101002,復興南路二段273號前,15,10,5,0,1,2,2020-03-11 22:09:21,2020-03-11 08:41:03
500101003,國北教大實小東側門,16,5,11,0,1,2,2020-03-11 22:09:21,2020-03-11 19:43:03
500101004,和平公園東側,11,0,11,0,1,2,2020-03-11 22:09:21,2020-03-11 18:39:03
500101005,辛亥復興路口西北側,16,0,16,0,1,2,2020-03-11 22:09:21,2020-03-11 18:05:03
500101006,復興南路二段280號前,11,0,11,0,1,2,2020-03-11 22:09:21,2020-03-11 05:19:03
500101007,復興南路二段340巷口,11,2,9,0,1,2,2020-03-11 22:09:21,2020-03-10 07:47:03
500101008,新生南路三段52號前,17,7,10,0,1,2,2020-03-11 22:09:21,2020-03-11 20:47:03
500101010,新生南路三段82號前,20,1,19,0,1,2,2020-03-11 22:09:21,2020-03-11 12:39:03
500101011,羅斯福路三段333巷9號旁,7,0,7,0,1,2,2020-03-11 22:09:21,2020-03-10 12:55:03
500101012,辛亥路一段30號前,8,3,5,0,1,2,2020-03-11 22:09:21,2020-03-11 12:27:03
500101014,羅斯福路三段311號前,11,0,11,0,1,2,2020-03-11 22:09:21,2020-03-11 08:27:03
500101016,羅斯福路三段245號前,8,5,3,0,1,2,2020-03-11 22:09:21,2020-03-10 23:55:03
500101015,大安運動中心停車場,14,3,11,0,1,2,2020-03-11 22:09:21,2020-03-11 16:05:03
500101017,羅斯福路三段269巷5號前,10,4,6,0,1,2,2020-03-11 22:09:21,2020-03-11 19:05:03
500101018,溫州公園,5,1,4,0,1,2,2020-03-11 22:09:21,2020-03-11 08:15:03
500101019,和平臥龍街口,15,7,8,0,1,2,2020-03-11 22:09:21,2020-03-11 16:55:03
500101020,溫州停車場,5,3,2,0,1,2,2020-03-11 22:09:21,2020-03-11 22:05:03
500101021,銘傳國小側門,7,0,7,0,1,2,2020-03-11 22:09:21,2020-03-11 22:01:03
500101023,第二學生活動中心,27,0,27,0,1,2,2020-03-11 22:09:21,2020-03-11 20:57:03
500101024,臺灣科技大學正門,30,2,28,0,1,2,2020-03-11 22:09:21,2020-03-11 15:25:03
500101025,臺灣科技大學側門,12,0,12,0,1,2,2020-03-11 22:09:21,2020-03-11 14:51:03
500101026,公館公園,15,5,10,0,1,2,2020-03-11 22:09:21,2020-03-11 12:01:03
500101027,臺灣科技大學後門,15,2,13,0,1,2,2020-03-11 22:09:21,2020-03-11 20:59:03
500101028,臺大醫學院附設癌醫中心,20,4,16,0,1,2,2020-03-11 22:09:21,2020-03-11 17:39:03
500101029,臺大環研大樓,15,4,11,0,1,2,2020-03-11 22:09:21,2020-03-10 11:43:03
500101030,臺大永齡生醫工程館,15,0,15,0,1,2,2020-03-11 22:09:21,2020-03-11 15:21:03
500101031,臺大男七舍前,20,0,20,0,1,2,2020-03-11 22:09:21,2020-03-11 21:43:03
500101032,臺大男一舍前,32,15,17,0,1,2,2020-03-11 22:09:21,2020-03-11 21:55:03
500101033,臺大男六舍前,20,7,13,0,1,2,2020-03-11 22:09:21,2020-03-10 21:25:03
500101034,臺大動物醫院前,18,0,18,0,1,2,2020-03-11 22:09:21,2020-03-11 17:19:03
500101035,臺大土木研究大樓前,11,8,3,0,1,2,2020-03-11 22:09:21,2020-03-11 21:39:03
500101036,臺大萬才館前,20,0,20,0,1,2,2020-03-11 22:09:21,2020-03-11 15:19:03
500101037,臺大國青大樓宿舍前,20,13,7,0,1,2,2020-03-11 22:09:21,2020-03-11 21:19:03
500101038,臺大社科院圖書館前,27,0,27,0,1,2,2020-03-11 22:09:21,2020-03-11 18:35:03
500101039,臺大法人語言訓練中心前,28,0,28,0,1,2,2020-03-11 22:09:21,2020-03-11 19:01:03
500101040,臺大綜合體育館停車場前,25,6,19,0,1,2,2020-03-11 22:09:21,2020-03-11 14:47:03
500101041,辛亥新生路口東南側,21,7,14,0,1,2,2020-03-11 22:09:21,2020-03-11 21:17:03
500101042,基隆長興路口東側,15,15,0,0,1,2,2020-03-11 22:09:21,2020-03-11 21:01:03
500101091,國北教大側門南側,28,6,22,0,1,2,2020-03-11 22:09:21,2020-03-11 11:47:03
500101092,和平實小東北側,13,6,7,0,1,2,2020-03-11 22:09:21,2020-03-11 19:07:03
500101093,大安區健康服務中心,15,1,14,0,1,2,2020-03-11 22:09:21,2020-03-11 14:45:03
500106001,臺北自來水事業處,20,10,10,0,1,2,2020-03-11 22:09:21,2020-03-11 18:11:03
500106002,汀州思源街口東南側,20,5,15,0,1,2,2020-03-11 22:09:21,2020-03-11 05:23:03
500106003,捷運公館站(1號出口),12,5,7,0,1,2,2020-03-11 22:09:21,2020-03-11 19:15:03
500106004,捷運公館站(4號出口),12,5,7,0,1,2,2020-03-11 22:09:21,2020-03-11 18:49:03
500101013,和平復興路口西北側,9,2,7,0,1,2,2020-03-11 22:09:21,2020-03-10 16:39:03
500101009,新生南路三段66號前,20,4,16,0,1,2,2020-03-11 22:09:21,2020-03-11 19:37:03
508101045,臺大農業陳列館北側,13,3,10,0,1,2,2020-03-11 22:09:21,2020-03-11 19:57:03
508106005,臺大水源舍區A棟,37,18,19,0,1,2,2020-03-11 22:09:21,2020-03-11 03:23:03
508106006,臺大卓越研究大樓,32,14,18,0,1,2,2020-03-11 22:09:21,2020-03-11 13:45:03
508106007,臺大水源修齊會館,18,13,5,0,1,2,2020-03-11 22:09:21,2020-03-11 21:27:03
508106008,臺大檔案展示館,10,2,8,0,1,2,2020-03-11 22:09:21,2020-03-09 20:47:03
508106009,臺大水源舍區B棟,30,16,14,0,1,2,2020-03-11 22:09:21,2020-03-11 21:45:03
508101043,臺大男八舍東側,42,13,29,0,1,2,2020-03-11 22:09:21,2020-03-11 15:51:03
508101044,臺大仰萃樓東南側,10,0,10,0,1,2,2020-03-11 22:09:21,2020-03-11 19:55:03
508101046,臺大管理學院二館北側,11,0,11,0,1,2,2020-03-11 22:09:21,2020-03-11 12:15:03
508101047,臺大土木系館,10,0,10,0,1,2,2020-03-11 22:09:21,2020-03-11 19:39:03
508101048,臺大大一女舍北側,53,39,2,0,1,2,2020-03-11 22:09:21,2020-03-11 19:49:03
508101049,臺大女九舍西南側,30,0,30,0,1,2,2020-03-11 22:09:21,2020-03-11 17:23:03
508101050,臺大小福樓東側,20,0,20,0,1,2,2020-03-11 22:09:21,2020-03-11 18:55:03
508101051,臺大立體機車停車場,27,0,27,0,1,2,2020-03-11 22:09:21,2020-03-11 08:05:03
508101052,臺大工綜館南側,16,0,16,0,1,2,2020-03-11 22:09:21,2020-03-11 17:43:03
508101053,臺大天文數學館南側,19,1,18,0,1,2,2020-03-11 22:09:21,2020-03-11 16:01:03
508101054,臺大心理系館南側,10,0,10,0,1,2,2020-03-11 22:09:21,2020-03-11 21:09:03
508101055,臺大樂學館東側,10,0,10,0,1,2,2020-03-11 22:09:21,2020-03-11 12:31:03
