station_no,name_tw,parking_spaces,available_spaces,empty_spaces,forbidden_spaces,status,type,updated_at,time
508101071,臺大計資中心南側,19,0,19,0,1,2,2020-03-11 18:49:23,2020-03-11 13:21:03
508101072,臺大原分所北側,12,0,12,0,1,2,2020-03-11 18:49:23,2020-03-11 17:31:03
508101073,臺大校史館南側,10,0,10,0,1,2,2020-03-11 18:49:23,2020-03-09 08:03:03
508101074,臺大生命科學館西北側,10,0,10,0,1,2,2020-03-11 18:49:23,2020-03-10 14:11:03
508101075,臺大第一活動中心西南側,40,2,38,0,1,2,2020-03-11 18:49:23,2020-03-11 18:13:03
508101076,臺大博理館西側,10,2,8,0,1,2,2020-03-11 18:49:23,2020-03-11 14:15:03
508101077,臺大博雅館西側,56,10,46,0,1,2,2020-03-11 18:49:23,2020-03-11 18:27:03
508101078,臺大森林館北側,10,0,10,0,1,2,2020-03-11 18:49:23,2020-03-11 11:27:03
508101079,臺大一號館,19,0,19,0,1,2,2020-03-11 18:49:23,2020-03-11 16:37:03
508101081,臺大教研館北側,11,0,11,0,1,2,2020-03-11 18:49:23,2020-03-11 12:57:03
508101082,臺大四號館東北側,10,0,10,0,1,2,2020-03-11 18:49:23,2020-03-11 11:51:03
508101083,臺大新生教室南側,18,0,18,0,1,2,2020-03-11 18:49:23,2020-03-11 18:37:03
508101084,臺大鄭江樓北側,10,0,10,0,1,2,2020-03-11 18:49:23,2020-03-11 17:01:03
508101085,臺大電機二館東南側,14,0,14,0,1,2,2020-03-11 18:49:23,2020-03-11 01:57:03
508101086,臺大圖資系館北側,10,1,9,0,1,2,2020-03-11 18:49:23,2020-03-11 15:13:03
508101087,臺大總圖書館西南側,30,13,17,0,1,2,2020-03-11 18:49:23,2020-03-11 17:11:03
508101088,臺大黑森林西側,20,1,19,0,1,2,2020-03-11 18:49:23,2020-03-11 15:55:03
508101089,臺大獸醫館南側,10,0,10,0,1,2,2020-03-11 18:49:23,2020-03-11 10:21:03
508101090,臺大新體育館東南側,20,2,18,0,1,2,2020-03-11 18:49:23,2020-03-11 18:09:03
508101080,臺大小小福西南側,10,0,10,0,1,2,2020-03-11 18:49:23,2020-03-09 20:35:03
500101022,捷運公館站(2號出口),61,43,8,0,1,2,2020-03-11 18:49:23,2020-03-11 18:47:03
