station_no,name_tw,parking_spaces,available_spaces,empty_spaces,forbidden_spaces,status,type,updated_at,time
500101001,捷運科技大樓站,17,5,12,0,1,2,2020-03-12 20:09:23,2020-03-12 18:51:03
500101002,復興南路二段273號前,15,11,4,0,1,2,2020-03-12 20:09:23,2020-03-12 20:03:03
500101003,國北教大實小東側門,16,5,11,0,1,2,2020-03-12 20:09:23,2020-03-12 19:59:03
500101004,和平公園東側,11,1,10,0,1,2,2020-03-12 20:09:23,2020-03-12 06:53:03
500101005,辛亥復興路口西北側,16,0,16,0,1,2,2020-03-12 20:09:23,2020-03-12 13:21:03
500101006,復興南路二段280號前,11,4,7,0,1,2,2020-03-12 20:09:23,2020-03-12 02:13:03
500101007,復興南路二段340巷口,11,0,11,0,1,2,2020-03-12 20:09:23,2020-03-12 19:09:03
500101008,新生南路三段52號前,17,10,7,0,1,2,2020-03-12 20:09:23,2020-03-12 19:25:03
500101010,新生南路三段82號前,20,5,15,0,1,2,2020-03-12 20:09:23,2020-03-12 19:37:03
500101011,羅斯福路三段333巷9號旁,7,5,2,0,1,2,2020-03-12 20:09:23,2020-03-12 17:15:03
500101012,辛亥路一段30號前,8,0,8,0,1,2,2020-03-12 20:09:23,2020-03-12 17:45:03
500101014,羅斯福路三段311號前,11,5,6,0,1,2,2020-03-12 20:09:23,2020-03-12 19:41:03
500101016,羅斯福路三段245號前,8,4,4,0,1,2,2020-03-12 20:09:23,2020-03-12 19:15:03
500101015,大安運動中心停車場,14,1,13,0,1,2,2020-03-12 20:09:23,2020-03-12 16:07:03
500101017,羅斯福路三段269巷5號前,10,8,2,0,1,2,2020-03-12 20:09:23,2020-03-11 19:05:03
500101018,溫州公園,5,3,2,0,1,2,2020-03-12 20:09:23,2020-03-11 08:15:03
500101019,和平臥龍街口,15,1,14,0,1,2,2020-03-12 20:09:23,2020-03-11 16:55:03
500101020,溫州停車場,5,5,0,0,1,2,2020-03-12 20:09:23,2020-03-12 17:21:03
500101021,銘傳國小側門,7,1,6,0,1,2,2020-03-12 20:09:23,2020-03-12 18:39:03
500101023,第二學生活動中心,27,2,25,0,1,2,2020-03-12 20:09:23,2020-03-11 20:57:03
500101024,臺灣科技大學正門,30,0,30,0,1,2,2020-03-12 20:09:23,2020-03-12 10:31:03
500101025,臺灣科技大學側門,12,0,12,0,1,2,2020-03-12 20:09:23,2020-03-12 16:43:03
500101026,公館公園,15,1,14,0,1,2,2020-03-12 20:09:23,2020-03-12 18:13:03
500101027,臺灣科技大學後門,15,3,12,0,1,2,2020-03-12 20:09:23,2020-03-12 18:25:03
500101028,臺大醫學院附設癌醫中心,20,0,20,0,1,2,2020-03-12 20:09:23,2020-03-12 12:53:03
500101029,臺大環研大樓,15,0,15,0,1,2,2020-03-12 20:09:23,2020-03-12 13:25:03
500101030,臺大永齡生醫工程館,15,0,15,0,1,2,2020-03-12 20:09:23,2020-03-11 15:21:03
500101031,臺大男七舍前,20,4,16,0,1,2,2020-03-12 20:09:23,2020-03-12 19:43:03
500101032,臺大男一舍前,32,1,31,0,1,2,2020-03-12 20:09:23,2020-03-12 14:15:03
500101033,臺大男六舍前,20,1,19,0,1,2,2020-03-12 20:09:23,2020-03-12 09:23:03
500101034,臺大動物醫院前,18,0,18,0,1,2,2020-03-12 20:09:23,2020-03-12 10:25:03
500101035,臺大土木研究大樓前,11,2,9,0,1,2,2020-03-12 20:09:23,2020-03-12 18:07:03
500101036,臺大萬才館前,20,4,16,0,1,2,2020-03-12 20:09:23,2020-03-12 01:57:03
500101037,臺大國青大樓宿舍前,20,11,9,0,1,2,2020-03-12 20:09:23,2020-03-12 07:59:03
