station_no,name_tw,parking_spaces,available_spaces,empty_spaces,forbidden_spaces,status,type,updated_at,time
500106001,臺北自來水事業處,20,8,12,0,1,2,2020-03-09 04:39:19,2020-03-09 02:17:03
500106002,汀州思源街口東南側,20,6,14,0,1,2,2020-03-09 04:39:19,2020-03-08 21:31:03
500106003,捷運公館站(1號出口),12,4,8,0,1,2,2020-03-09 04:39:19,2020-03-08 22:07:03
500106004,捷運公館站(4號出口),12,4,8,0,1,2,2020-03-09 04:39:19,2020-03-08 19:49:03
500101013,和平復興路口西北側,9,6,3,0,1,2,2020-03-09 04:39:19,2020-03-08 21:11:03
500101009,新生南路三段66號前,20,2,18,0,1,2,2020-03-09 04:39:19,2020-03-08 20:05:03
508101045,臺大農業陳列館北側,13,0,13,0,1,2,2020-03-09 04:39:19,2020-03-08 21:23:03
508106005,臺大水源舍區A棟,37,4,33,0,1,2,2020-03-09 04:39:19,2020-03-09 04:35:03
508106006,臺大卓越研究大樓,32,8,24,0,1,2,2020-03-09 04:39:19,2020-03-08 17:17:03
508106007,臺大水源修齊會館,18,6,12,0,1,2,2020-03-09 04:39:19,2020-03-08 18:31:03
508106008,臺大檔案展示館,10,7,3,0,1,2,2020-03-09 04:39:19,2020-03-08 16:35:03
508106009,臺大水源舍區B棟,30,21,8,0,1,2,2020-03-09 04:39:19,2020-03-09 04:17:03
508101043,臺大男八舍東側,42,20,22,0,1,2,2020-03-09 04:39:19,2020-03-09 04:07:03
508101044,臺大仰萃樓東南側,10,1,9,0,1,2,2020-03-09 04:39:19,2020-03-08 23:07:03
508101046,臺大管理學院二館北側,11,1,10,0,1,2,2020-03-09 04:39:19,2020-03-08 14:43:03
508101047,臺大土木系館,10,1,9,0,1,2,2020-03-09 04:39:19,2020-03-08 15:41:03
508101048,臺大大一女舍北側,53,43,8,0,1,2,2020-03-09 04:39:19,2020-03-09 04:05:03
508101049,臺大女九舍西南側,30,6,24,0,1,2,2020-03-09 04:39:19,2020-03-08 16:37:03
508101050,臺大小福樓東側,20,1,19,0,1,2,2020-03-09 04:39:19,2020-03-08 21:55:03
508101051,臺大立體機車停車場,27,2,25,0,1,2,2020-03-09 04:39:19,2020-03-07 07:15:03
508101052,臺大工綜館南側,16,0,16,0,1,2,2020-03-09 04:39:19,2020-03-08 23:35:03
508101053,臺大天文數學館南側,19,0,19,0,1,2,2020-03-09 04:39:19,2020-03-08 16:51:03
508101054,臺大心理系館南側,10,0,10,0,1,2,2020-03-09 04:39:19,2020-03-07 13:19:03
508101055,臺大樂學館東側,10,2,8,0,1,2,2020-03-09 04:39:19,2020-03-08 08:53:03
508101056,臺大農化新館西側,10,2,8,0,1,2,2020-03-09 04:39:19,2020-03-08 07:17:03
508101057,臺大五號館西側,10,1,9,0,1,2,2020-03-09 04:39:19,2020-03-08 17:05:03
508101058,臺大舊體育館西側,10,2,8,0,1,2,2020-03-09 04:39:19,2020-03-08 23:31:03
508101059,臺大共同教室北側,20,1,19,0,1,2,2020-03-09 04:39:19,2020-03-08 13:57:03
508101060,臺大共同教室東南側,12,1,11,0,1,2,2020-03-09 04:39:19,2020-03-08 16:41:03
508101061,臺大鹿鳴堂東側,27,1,26,0,1,2,2020-03-09 04:39:19,2020-03-08 20:23:03
508101062,臺大公館停車場西北側,12,1,11,0,1,2,2020-03-09 04:39:19,2020-03-09 04:09:03
508101063,臺大第二行政大樓南側,10,1,9,0,1,2,2020-03-09 04:39:19,2020-03-08 09:19:03
508101064,臺大明達館機車停車場,10,5,5,0,1,2,2020-03-09 04:39:19,2020-03-07 10:23:03
508101065,臺大二號館,10,2,8,0,1,2,2020-03-09 04:39:19,2020-03-07 07:17:03
508101066,臺大凝態館南側,20,2,18,0,1,2,2020-03-09 04:39:19,2020-03-08 13:45:03
508101067,臺大社科院西側,26,3,23,0,1,2,2020-03-09 04:39:19,2020-03-08 21:07:03
508101068,臺大社會系館南側,10,1,9,0,1,2,2020-03-09 04:39:19,2020-03-08 14:05:03
508101069,臺大思亮館東南側,10,2,8,0,1,2,2020-03-09 04:39:19,2020-03-09 03:05:03
508101070,臺大椰林小舖,25,1,24,0,1,2,2020-03-09 04:39:19,2020-03-08 22:45:03
508101071,臺大計資中心南側,19,0,19,0,1,2,2020-03-09 04:39:19,2020-03-07 17:53:03
508101072,臺大原分所北側,12,5,7,0,1,2,2020-03-09 04:39:19,2020-03-08 12:15:03
508101073,臺大校史館南側,10,1,9,0,1,2,2020-03-09 04:39:19,2020-03-08 21:03:03
508101074,臺大生命科學館西北側,10,1,9,0,1,2,2020-03-09 04:39:19,2020-03-08 16:01:03
508101075,臺大第一活動中心西南側,40,1,39,0,1,2,2020-03-09 04:39:19,2020-03-08 21:29:03
508101076,臺大博理館西側,10,0,10,0,1,2,2020-03-09 04:39:19,2020-03-08 17:41:03
508101077,臺大博雅館西側,56,5,51,0,1,2,2020-03-09 04:39:19,2020-03-09 02:21:03
508101078,臺大森林館北側,10,1,9,0,1,2,2020-03-09 04:39:19,2020-03-07 18:51:03
508101079,臺大一號館,19,3,16,0,1,2,2020-03-09 04:39:19,2020-03-09 01:51:03
508101081,臺大教研館北側,11,1,10,0,1,2,2020-03-09 04:39:19,2020-03-07 17:21:03
508101082,臺大四號館東北側,10,1,9,0,1,2,2020-03-09 04:39:19,2020-03-07 17:17:03
508101083,臺大新生教室南側,18,3,15,0,1,2,2020-03-09 04:39:19,2020-03-09 03:55:03
508101084,臺大鄭江樓北側,10,0,10,0,1,2,2020-03-09 04:39:19,2020-03-08 21:59:03
508101085,臺大電機二館東南側,14,0,14,0,1,2,2020-03-09 04:39:19,2020-03-08 18:07:03
508101086,臺大圖資系館北側,10,1,9,0,1,2,2020-03-09 04:39:19,2020-03-07 17:41:03
508101087,臺大總圖書館西南側,30,1,29,0,1,2,2020-03-09 04:39:19,2020-03-08 14:49:03
508101088,臺大黑森林西側,20,7,13,0,1,2,2020-03-09 04:39:19,2020-03-08 20:35:03
508101089,臺大獸醫館南側,10,5,5,0,1,2,2020-03-09 04:39:19,2020-03-08 16:59:03
508101090,臺大新體育館東南側,20,1,19,0,1,2,2020-03-09 04:39:19,2020-03-09 02:49:03
508101080,臺大小小福西南側,10,0,10,0,1,2,2020-03-09 04:39:19,2020-03-06 08:23:03
500101022,捷運公館站(2號出口),61,44,10,0,1,2,2020-03-09 04:39:19,2020-03-09 04:11:03
