station_no,name_tw,parking_spaces,available_spaces,empty_spaces,forbidden_spaces,status,type,updated_at,time
500101023,第二學生活動中心,27,6,21,0,1,2,2020-03-15 17:30:31,2020-03-15 08:13:03
500101024,臺灣科技大學正門,30,8,22,0,1,2,2020-03-15 17:30:31,2020-03-14 13:47:03
500101025,臺灣科技大學側門,12,1,11,0,1,2,2020-03-15 17:30:31,2020-03-15 13:41:03
500101026,公館公園,15,2,13,0,1,2,2020-03-15 17:30:31,2020-03-15 14:49:03
500101027,臺灣科技大學後門,15,8,7,0,1,2,2020-03-15 17:30:31,2020-03-15 17:07:03
500101028,臺大醫學院附設癌醫中心,20,1,19,0,1,2,2020-03-15 17:30:31,2020-03-15 07:43:03
500101029,臺大環研大樓,15,2,13,0,1,2,2020-03-15 17:30:31,2020-03-14 21:35:03
500101030,臺大永齡生醫工程館,15,7,8,0,1,2,2020-03-15 17:30:31,2020-03-14 21:31:03
500101031,臺大男七舍前,20,3,17,0,1,2,2020-03-15 17:30:31,2020-03-15 04:29:03
500101032,臺大男一舍前,32,9,23,0,1,2,2020-03-15 17:30:31,2020-03-15 16:07:03
500101033,臺大男六舍前,20,1,19,0,1,2,2020-03-15 17:30:31,2020-03-14 22:45:03
500101034,臺大動物醫院前,18,0,18,0,1,2,2020-03-15 17:30:31,2020-03-14 23:07:03
500101035,臺大土木研究大樓前,11,7,4,0,1,2,2020-03-15 17:30:31,2020-03-14 13:49:03
500101036,臺大萬才館前,20,5,15,0,1,2,2020-03-15 17:30:31,2020-03-15 09:19:03
500101037,臺大國青大樓宿舍前,20,2,18,0,1,2,2020-03-15 17:30:31,2020-03-15 03:51:03
500101038,臺大社科院圖書館前,27,4,23,0,1,2,2020-03-15 17:30:31,2020-03-15 16:15:03
500101039,臺大法人語言訓練中心前,28,0,28,0,1,2,2020-03-15 17:30:31,2020-03-15 14:31:03
500101040,臺大綜合體育館停車場前,25,2,23,0,1,2,2020-03-15 17:30:31,2020-03-14 18:37:03
500101041,辛亥新生路口東南側,21,10,11,0,1,2,2020-03-15 17:30:31,2020-03-15 15:59:03
500101042,基隆長興路口東側,15,1,14,0,1,2,2020-03-15 17:30:31,2020-03-15 13:13:03
500101091,國北教大側門南側,28,2,26,0,1,2,2020-03-15 17:30:31,2020-03-14 20:19:03
500101092,和平實小東北側,13,4,9,0,1,2,2020-03-15 17:30:31,2020-03-15 14:13:03
