station_no,name_tw,parking_spaces,available_spaces,empty_spaces,forbidden_spaces,status,type,updated_at,time
500101023,第二學生活動中心,27,4,23,0,1,2,2020-03-17 01:59:24,2020-03-17 01:35:03
500101024,臺灣科技大學正門,30,3,27,0,1,2,2020-03-17 01:59:24,2020-03-16 06:43:03
500101025,臺灣科技大學側門,12,3,9,0,1,2,2020-03-17 01:59:24,2020-03-17 00:25:03
500101026,公館公園,15,2,13,0,1,2,2020-03-17 01:59:24,2020-03-16 15:03:03
500101027,臺灣科技大學後門,15,2,13,0,1,2,2020-03-17 01:59:24,2020-03-16 10:45:03
500101028,臺大醫學院附設癌醫中心,20,2,18,0,1,2,2020-03-17 01:59:24,2020-03-16 12:13:03
500101029,臺大環研大樓,15,4,11,0,1,2,2020-03-17 01:59:24,2020-03-16 17:25:03
500101030,臺大永齡生醫工程館,15,1,14,0,1,2,2020-03-17 01:59:24,2020-03-17 00:59:03
500101031,臺大男七舍前,20,8,12,0,1,2,2020-03-17 01:59:24,2020-03-17 01:17:03
500101032,臺大男一舍前,32,18,14,0,1,2,2020-03-17 01:59:24,2020-03-16 23:19:03
500101033,臺大男六舍前,20,10,10,0,1,2,2020-03-17 01:59:24,2020-03-16 23:01:03
500101034,臺大動物醫院前,18,3,15,0,1,2,2020-03-17 01:59:24,2020-03-16 22:29:03
500101035,臺大土木研究大樓前,11,3,8,0,1,2,2020-03-17 01:59:24,2020-03-15 22:35:03
500101036,臺大萬才館前,20,8,12,0,1,2,2020-03-17 01:59:24,2020-03-16 14:33:03
500101037,臺大國青大樓宿舍前,20,4,16,0,1,2,2020-03-17 01:59:24,2020-03-17 00:55:03
500101038,臺大社科院圖書館前,27,5,22,0,1,2,2020-03-17 01:59:24,2020-03-16 18:39:03
500101039,臺大法人語言訓練中心前,28,4,24,0,1,2,2020-03-17 01:59:24,2020-03-16 02:45:03
500101040,臺大綜合體育館停車場前,25,3,22,0,1,2,2020-03-17 01:59:24,2020-03-16 19:29:03
500101041,辛亥新生路口東南側,21,4,17,0,1,2,2020-03-17 01:59:24,2020-03-16 10:59:03
500101042,基隆長興路口東側,15,7,8,0,1,2,2020-03-17 01:59:24,2020-03-17 00:23:03
500101091,國北教大側門南側,28,1,27,0,1,2,2020-03-17 01:59:24,2020-03-16 14:03:03
500101092,和平實小東北側,13,2,11,0,1,2,2020-03-17 01:59:24,2020-03-15 14:13:03
500101093,大安區健康服務中心,15,1,14,0,1,2,2020-03-17 01:59:24,2020-03-16 23:11:03
500106001,臺北自來水事業處,20,13,6,0,1,2,2020-03-17 01:59:24,2020-03-16 22:01:03
500106002,汀州思源街口東南側,20,5,15,0,1,2,2020-03-17 01:59:24,2020-03-17 01:37:03
500106003,捷運公館站(1號出口),12,4,8,0,1,2,2020-03-17 01:59:24,2020-03-16 22:15:03
500106004,捷運公館站(4號出口),12,5,7,0,1,2,2020-03-17 01:59:24,2020-03-17 01:41:03
500101013,和平復興路口西北側,9,4,5,0,1,2,2020-03-17 01:59:24,2020-03-16 17:31:03
500101009,新生南路三段66號前,20,2,18,0,1,2,2020-03-17 01:59:24,2020-03-15 18:51:03
508101045,臺大農業陳列館北側,13,1,12,0,1,2,2020-03-17 01:59:24,2020-03-16 21:33:03
508106005,臺大水源舍區A棟,37,20,17,0,1,2,2020-03-17 01:59:24,2020-03-17 01:29:03
508106006,臺大卓越研究大樓,32,9,23,0,1,2,2020-03-17 01:59:24,2020-03-17 01:49:03
508106007,臺大水源修齊會館,18,11,7,0,1,2,2020-03-17 01:59:24,2020-03-16 22:53:03
508106008,臺大檔案展示館,10,0,10,0,1,2,2020-03-17 01:59:24,2020-03-16 14:39:03
508106009,臺大水源舍區B棟,30,16,14,0,1,2,2020-03-17 01:59:24,2020-03-17 01:33:03
508101043,臺大男八舍東側,42,36,6,0,1,2,2020-03-17 01:59:24,2020-03-17 01:55:03
508101044,臺大仰萃樓東南側,10,0,10,0,1,2,2020-03-17 01:59:24,2020-03-16 09:01:03
